timestamp,user_id,asset_id,event_type,anomaly_score,off_hours,failed_logins_24h,geo_distance_km,proc_injection_flag,label
2025-09-28T14:28:33,1038,2032,process,0.134,0,2,19.0,0,1
2025-09-28T15:13:33,1028,2052,file,0.032,0,1,111.4,0,1
2025-09-28T15:58:33,1014,2021,login,0.426,0,2,234.9,0,0
2025-09-28T16:43:33,1042,2020,file,0.146,1,0,80.4,0,0
2025-09-28T17:28:33,1007,2069,process,0.423,0,0,67.7,0,0
2025-09-28T18:13:33,1020,2069,login,0.131,0,0,859.8,0,0
2025-09-28T18:58:33,1038,2003,registry,0.213,0,0,117.0,0,0
2025-09-28T19:43:33,1018,2093,login,0.311,0,3,186.4,0,0
2025-09-28T20:28:33,1022,2074,network,0.572,1,1,8.1,0,1
2025-09-28T21:13:33,1010,2061,file,0.539,0,1,154.6,0,0
2025-09-28T21:58:33,1010,2061,login,0.332,1,1,97.3,0,1
2025-09-28T22:43:33,1023,2093,network,0.541,0,0,104.2,0,0
2025-09-28T23:28:33,1035,2094,registry,0.383,1,1,41.0,0,0
2025-09-29T00:13:33,1039,2023,login,0.093,0,2,1825.6,0,0
2025-09-29T00:58:33,1023,2054,file,0.331,0,2,50.4,0,1
2025-09-29T01:43:33,1002,2008,network,0.111,0,0,86.6,0,0
2025-09-29T02:28:33,1021,2002,network,0.461,0,0,134.3,0,1
2025-09-29T03:13:33,1001,2030,network,0.265,1,0,44.0,0,0
2025-09-29T03:58:33,1023,2039,login,0.31,1,1,1538.4,0,0
2025-09-29T04:43:33,1043,2035,registry,0.404,0,2,68.0,0,1
2025-09-29T05:28:33,1029,2023,registry,0.462,0,0,72.5,0,0
2025-09-29T06:13:33,1037,2094,network,0.418,0,1,184.8,0,0
2025-09-29T06:58:33,1001,2005,file,0.346,1,0,26.9,0,0
2025-09-29T07:43:33,1020,2065,network,0.284,0,0,12.3,0,1
2025-09-29T08:28:33,1032,2083,process,0.555,0,0,333.8,0,1
2025-09-29T09:13:33,1011,2091,network,0.207,0,1,129.3,0,0
2025-09-29T09:58:33,1021,2074,network,0.22,1,1,149.8,0,0
2025-09-29T10:43:33,1043,2003,network,0.436,0,1,88.3,0,1
2025-09-29T11:28:33,1024,2078,file,0.232,1,1,160.2,0,1
2025-09-29T12:13:33,1048,2005,process,0.209,1,0,6.2,0,0
2025-09-29T12:58:33,1026,2093,login,0.118,0,3,253.7,0,1
2025-09-29T13:43:33,1041,2050,login,0.27,0,4,98.9,0,0
2025-09-29T14:28:33,1027,2061,process,0.221,1,0,141.8,0,0
2025-09-29T15:13:33,1015,2056,network,0.063,0,0,86.8,0,0
2025-09-29T15:58:33,1014,2065,network,0.415,1,0,8.2,0,0
2025-09-29T16:43:33,1046,2078,network,0.086,0,2,42.6,0,0
2025-09-29T17:28:33,1043,2074,process,0.617,0,0,217.2,0,1
2025-09-29T18:13:33,1002,2007,network,0.477,1,0,2.2,0,0
2025-09-29T18:58:33,1036,2025,login,0.141,0,1,169.0,0,0
2025-09-29T19:43:33,1006,2050,process,0.301,0,0,27.6,0,0
2025-09-29T20:28:33,1020,2044,network,0.579,1,0,23.2,0,1
2025-09-29T21:13:33,1008,2043,file,0.273,0,0,25.7,0,1
2025-09-29T21:58:33,1038,2004,process,0.721,0,0,36.7,0,0
2025-09-29T22:43:33,1017,2069,login,0.474,0,3,1715.5,0,0
2025-09-29T23:28:33,1003,2025,login,0.405,1,1,305.5,0,0
2025-09-30T00:13:33,1024,2067,login,0.069,1,2,1357.8,0,0
2025-09-30T00:58:33,1013,2018,network,0.101,0,2,97.6,0,0
2025-09-30T01:43:33,1049,2083,login,0.422,1,2,11.9,0,0
2025-09-30T02:28:33,1008,2096,process,0.421,1,0,213.5,1,1
2025-09-30T03:13:33,1025,2019,process,0.475,0,0,46.1,0,0
2025-09-30T03:58:33,1001,2011,login,0.491,0,2,664.0,0,0
2025-09-30T04:43:33,1019,2046,process,0.532,0,1,68.0,0,0
2025-09-30T05:28:33,1027,2000,login,0.178,0,3,257.4,0,0
2025-09-30T06:13:33,1046,2089,process,0.461,1,0,29.5,0,0
2025-09-30T06:58:33,1006,2013,login,0.119,1,0,1279.9,0,0
2025-09-30T07:43:33,1043,2063,file,0.067,0,1,37.8,0,1
2025-09-30T08:28:33,1007,2037,login,0.454,0,1,390.9,0,0
2025-09-30T09:13:33,1046,2036,registry,0.218,0,1,16.6,0,0
2025-09-30T09:58:33,1034,2010,process,0.354,0,1,93.6,0,0
